subject,text,priority,queue
Dringend: Fehlerhafte Gehaltsabrechnung für September,"Sehr geehrte Damen und Herren, leider ist mir aufgefallen, dass meine Gehaltsabrechnung für September inkorrekt ist und einige Abzüge falsch berechnet wurden. Dies muss dringend korrigiert werden, da ich darauf angewiesen bin. Viele Grüße, Julian Mohr",3,Buchhaltung
Dringend: Google Meet stürzt ab und lässt sich nicht öffnen,"Hallo, unser Unternehmen nutzt Google Meet für wichtige Meetings und seit heute Morgen lässt es sich nicht mehr öffnen. Anstatt zu starten, stürzt die Software immer wieder ab. Wir haben bereits alles Mögliche ausprobiert, von der Neuinstallation bis hin zum Zurücksetzen der Einstellungen. Wir benötigen dringend Hilfe, da unsere täglichen Besprechungen davon abhängen. Vielen Dank im Voraus, Keven Alexander",3,Software
Probleme mit Data Backup Version 3.5,"Hallo Kundensupport, mein Data Backup in Version 3.5 zeigt fehlerhafte Meldungen an und ich kann keine Sicherungen mehr erfolgreich erstellen. Ein Fehlercode wird auch nicht angezeigt. Was kann ich tun, um das zu beheben? Eine schnelle Lösung wäre super, MSID: 8491537. Danke im Voraus! Süreyya Harder",2,Software
Revenue Management - Unverzichtbare Reports fehlen,"Sehr geehrte Damen und Herren, bei unserem Revenue Management System fehlen plötzlich wichtige Reports. Ohne diese Berichte können wir keine fundierten Geschäftsentscheidungen treffen. Brauche dringend Hilfe. Beste Grüße, Laurenz Block",3,Software
Frage zu Rechnungsdetails und Zahlungsbedingungen,"Hallo, ich würde gerne wissen, ob die nächste Rechnung für mein physio-studio mit einem anderen Unternehmensnamen ausgestellt wird.",1,Buchhaltung
Problem mit Western Digital My Book Duo – Unterstützung benötigt,"Sehr geehrte Damen und Herren, kürzlich habe ich ein WD My Book Duo gekauft. Das Gerät wird von meinem PC nicht erkannt. USB-Kabel ist in Ordnung und Treiber sind aktuell. Was kann ich tun, um das Problem zu lösen? Vielen Dank im Voraus! Mit freundlichen Grüßen, Christopher Reuter",1,Hardware
Kleines Problem mit Smart-Wassermelder,"Sehr geehrter Kundensupport,
mir ist bei meinem Smart-Wassermelder ein kleines Problem aufgefallen. Das Gerät sendet ab und zu falsche Warnungen. Gibt es eine Möglichkeit, dieses Problem zu beheben oder sollte ich das Gerät umtauschen? Es handelt sich um die Bestellnummer #123456789.
Vielen Dank,
Udo Hübner",1,Hardware
Hilfe - Loan Origination startet nicht!,"Sehr geehrte Damen und Herren, jedes Mal, wenn ich versuche, die Loan Origination-Software zu starten, stürzt sie ab und zeigt die Fehlermeldung 'Unexpected Error'. Da ich die Software dringend für meine Kunden benötige, bitte ich dringend um schnelle Hilfe! Mit freundlichen Grüßen, Carina Kuhn.",3,Software
Frage zu Vertragslaufzeit - Dringend Klärung Benötigt,"Hallo, ich habe eine Frage zur Laufzeit meines Vertrags. Laut meiner Unterlagen endet dieser nächsten Monat. Können Sie dies bestätigen? Danke, Celine Schuster",2,Buchhaltung
Probleme mit JBL Quantum Duo Lautsprechern,"Sehr geehrter Support, meine JBL Quantum Duo Lautsprecher knacken ständig. Was kann das Problem sein? Mit freundlichen Grüßen, Chris Pohl",2,Hardware
Probleme mit neuer Soundkarte,"Hallo Support, meine gerade erworbene Soundkarte fällt häufiger aus. Der Ton verschwindet ohne Vorwarnung und kehrt nur sporadisch zurück. Was kann ich tun? Viele Grüße, Gregor Hartig",2,Hardware
Probleme mit Netgear Nighthawk Mesh Wi-Fi 6 System,"Guten Tag, ich habe vor Kurzem das Netgear Nighthawk Mesh Wi-Fi 6 System gekauft und leider tritt ein Verbindungsfehler auf. Kann jemand bitte mit einer Lösung weiterhelfen? Vielen Dank, Elvir Feller",2,Hardware
Lautstärkenprobleme beim Case Fan,"Hallo Team, mein neuer Case Fan ist extrem laut. Ich habe schon einiges probiert, aber es wird nicht besser. Danke!",2,Hardware
Dringend: Mitarbeiter Entwicklungsbudget Genehmigung erforderlich,"Sehr geehrte Damen und Herren, bitte um schnellstmögliche Genehmigung des Entwicklungsbudgets für unsere neuen Mitarbeiter. Die Trainings beginnen nächste Woche und finanzielle Rückendeckung ist unerlässlich. Förderlich wäre auch eine einmalige Kontobelastung pro Abteilung. Vielen Dank! Lisa Te",3,Buchhaltung
Kleinere Fehler in Maintenance Management,"Hallo Kundensupport, seit dem letzten Update bemerke ich kleinere Fehler in der Maintenance Management Software. Manche Berichte werden nicht korrekt dargestellt und ein paar Menüpunkte sind nicht erreichbar. Könntet Ihr dies überprüfen? Vielen Dank im Voraus. Freundliche Grüße, Gule Rehm",1,Software
Frage zum Aufbau der Cooler Master MasterBox Q300L,"Sehr geehrte Damen und Herren, ich wollte heute meinen neuen Cooler Master MasterBox Q300L zusammenbauen und habe Fragen zum Einbau der Grafikkarte. Der Abstand scheint nicht auszureichen. Können Sie mir bitte sagen, wie viel Platz ich dafür einplanen sollte? Danke und Grüße, Claudiu Kahle",1,Hardware
Frage zu Update für Beacon Technology,"Hallo Support,

ich habe eine Frage zur Beacon Technology. Wird es in den nächsten Wochen ein Update für das System geben? Ich plane einige Änderungen und hoffe auf mögliche Verbesserungen.

Beste Grüße,
Johannes Winter",1,Software
Dringend! Probleme mit Weebly – Bitte um sofortige Hilfe,"""Sehr geehrte Damen und Herren,
ich kann seit dem letzten Update meine Webseite auf Weebly nicht mehr bearbeiten. Beim Laden stürzt die Seite ab. Mein Online-Shop ist daher derzeit offline, und das ist äußerst dringend, da ich täglich Bestellungen abwickeln muss.
Vielen Dank!
Mit freundlichen Grüßen,
Marion Keller",3,Software
Anfrage zur nächsten Rechnung für Accelerometer,"Sehr geehrte Damen und Herren,
vor einiger Zeit habe ich bei Ihnen ein Accelerometer erworben. In einigen Wochen steht die nächste Rechnung an, könnte dort statt meines Namens 'Kunze GmbH' angegeben werden? Es hat keine Eile, die Änderung kann in Ruhe erfolgen. Vielen Dank!
Mit freundlichen Grüßen,
Ina Kunze",1,Hardware
Dringend! Smart-Wetterstation zeigt keine Daten mehr,"Sehr geehrte Damen und Herren, meine Smart-Wetterstation zeigt seit gestern keinerlei Daten mehr an. Ich habe bereits alle Kabel überprüft und neu gestartet, hilft aber nichts. Bitte um sofortige Hilfe! Gruß, Jana Aslan",3,Hardware
Angebotsanfrage für Buchhaltungssoftware,"Sehr geehrtes Support-Team, mein Name ist Catharina Kluge. Ich interessiere mich für Ihre Buchhaltungssoftware und möchte gerne wissen, ob es mögliche Rabatte für kleine Unternehmen gibt? Außerdem hätte ich gerne Informationen zu den Lizenzkosten und Supportoptionen. Vielen Dank im Voraus!",2,Buchhaltung
Datenschutzanfrage,"Sehr geehrte Damen und Herren,

ich wüsste gerne, wie meine persönlichen Daten derzeit bei Ihnen gespeichert und verwendet werden. Außerdem würde ich gerne wissen, wie ich diese auf den aktuellsten Stand bringen kann.

Mit freundlichen Grüßen,
Kai Kraus",1,Buchhaltung
Dringende Rechtsfrage zu Mitarbeitern,"Sehr geehrte Damen und Herren, ich habe eine dringende Frage zum Vertragsrecht bezüglich neuer Mitarbeiter in unserer Firma. Bitte um schnellen Kontakt.",3,Buchhaltung
"Smart-CPAP-Gerät defekt, Gerät schaltet nicht ein",Das neue Smart-CPAP-Gerät startet nicht mehr. Hilfe bitte.,3,Hardware
Dringendes Problem mit Zoho Desk Admin Console,"Sehr geehrte Damen und Herren, seit dem neuesten Update der Zoho Desk Admin Console kann ich keine Tickets mehr bearbeiten oder Kunden anlegen. Das beeinträchtigt unseren Support erheblich. Wir benötigen dringend eine Lösung für dieses Problem. Mit freundlichen Grüßen, Heike Winkler",3,Software
Problem bei der Einrichtung von Disaster Recovery,Kann Disaster Recovery nicht einrichten..,2,Software
Software Supply Chain Optimization funktioniert nicht mehr – dringend!,"Hallo, meine Supply Chain Optimization Software ist abgestürzt und lässt sich nicht mehr öffnen. Benötige Hilfe, da die Produktivität im Team erheblich leidet.",3,Software
Probleme mit Mac Mini,"Guten Tag Support-Team,
mein kürzlich bei Ihnen erworbener Mac Mini schaltet sich ab und zu ohne Vorwarnung aus. Ich habe alle kabel überprüft. Könnten Sie mir bitte weiterhelfen?
Danke und Grüße,
Fuchs Bachmann",2,Hardware
Frage zur Konfiguration des Access Points,"Sehr geehrte Damen und Herren, ich habe vor kurzem einen Access Point bei Ihnen erworben (Bestellnummer: AB12345678). Bis auf ein kleines Problem bei der Konfiguration bin ich sehr zufrieden. Können Sie mir erklären, wie ich das 5 GHz-Band richtig einstelle? Vielen Dank im Voraus, Philine Dietz",1,Hardware
Soundbar gibt keinen Ton mehr,"Sehr geehrtes Support-Team, ich habe Ihre Soundbar gekauft und plötzlich gibt sie keinen Ton mehr von sich. Das Modelnummer A1234 habe ich letztes Wochenende bestellt (Bestellnummer: 7894561239). Woran könnte das liegen? Danke und lieben Gruß, Dajana Marco",2,Hardware
hochdringend Berichtspflicht- Gesundheitsgerecht Zusatzbericht,Bitte prüfen Sie Berichte - Gesundheitsgerechtheit- Arbeitsplatz - Arbeitssafty-update - Gesndhsstandard - BuKarx198710237### wirksam,3,Buchhaltung
Zugriffsrechte für Mitarbeiter auf Abrechnungsdaten,"Hallo Buchhaltungsteam, mein Name ist Izzet Wenzel (Kunden-Nr. 123456), ich möchte sicherstellen, dass alle meine neuen Mitarbeiter die erforderlichen Zugriffsrechte für die Abrechnungsdaten haben. Könnt ihr bitte prüfen, ob das bereits richtig konfiguriert ist? Vielen Dank!",1,Buchhaltung
Probleme mit Corsair Flash Survivor Stealth 128GB,"Sehr geehrte Damen und Herren, 

ich habe kürzlich den USB-Stick Corsair Flash Survivor Stealth 128GB bei Ihnen erworben. Leider wird das Gerät nicht von meinem Computer erkannt. Ich habe bereits verschiedene USB-Ports ausprobiert und den Computer neugestartet, jedoch ohne Erfolg. Ich bitte um Ihre Unterstützung. 

Mit freundlichen Grüßen,
Gerhard Roth",2,Hardware
Fehlerhafte SSD nach wenigen Wochen,"Guten Tag, meine SSD gibt nach wenigen Wochen Verwendung seltsame Geräusche von sich. Was kann ich tun? Mit freundlichen Grüßen, Bärbel Peters",2,Hardware
Multifunktionsdrucker funktioniert nicht,"Sehr geehrte Damen und Herren, mein Multifunktionsdrucker funktioniert plötzlich nicht mehr. Ich brauche schnell Hilfe.",3,Hardware
Frage zur neuen Funktion im Facebook Business Manager,"Sehr geehrte Damen und Herren, ich habe bemerkt, dass es eine neue Funktion im Facebook Business Manager gibt. Leider finde ich keine genaue Anleitung dazu in Ihrer Dokumentation. Können Sie mir bitte eine kurze Beschreibung und/oder eine Anleitung zukommen lassen? Vielen Dank im Voraus. Mit freundlichen Grüßen, Margot Haus.",1,Software
Frage zur nächsten Cardano Development Ausgabe,"Hallo zusammen, ich habe gesehen, dass bald eine neue Version von Cardano Development erscheinen soll. Können Sie mir sagen, ob darin kleinere Fehlerbehebungen enthalten sind und wie viel Speicherplatz die neue Version benötigt? Ich danke Ihnen im Voraus für die Informationen. Viele Grüße, Kateryna Hoang",1,Software
Frage zur Rechnungsstellung,"Sehr geehrtes Buchhaltungsteam, können Sie mir eine Beispielrechnung für Produkt X zusenden? Danke, Dardan Seidl",1,Buchhaltung
Mobile Security App - Funktioniert nach Update nicht mehr,"Sehr geehrte Damen und Herren, seit dem neusten Update von Mobile Security funktioniert die App auf meinem Smartphone nicht mehr. Leider kann ich so nicht auf wichtige Funktionen zugreifen. Bitte um dringende Hilfe! Freundliche Grüße, Aline Lieb",3,Software
Frage zur Rechnung,"Hallo, könnte der Firmenname auf meiner nächsten Rechnung geändert werden? Beste Grüße, Walter Braun",1,Buchhaltung
Zendesk Fehler: Automatische Antwortregeln greifen nicht,"Sehr geehrte Damen und Herren,

bei unserer Zendesk-Instanz klappt die Einrichtung für automatische Antwortregeln nicht korrekt. Wir haben diese mehrfach überprüft und angepasst, jedoch ohne Erfolg. Könnten Sie uns bitte einen technischen Anwendungscheck anbieten? Dazu benötigen wir Ihre Unterstützung.

Mit freundlichen Grüßen,
Tran Dirks",2,Software
Heroku Dashboard Not erreichbar-Dringent Hilfe,"Heroku Dashboard lädt nicht, Projektverwicklung hängt.",3,Software
Frage zur Schulung,"Sehr geehrte Damen und Herren, ich benötige dringend eine Bestätigung zur bevorstehenden Sicherheits-Schulung. Danke!",3,Buchhaltung
Frage zur Gehälterrechnungs-Absicht,"Hallo, ich hätte gerne eine Kopie meiner letzten Gehaltsabrechnung. Mit freundlichen Grüßen, Fabrice",1,Buchhaltung
Beta-Funktion fehlerhaft in Staking Pools Software,"Sehr geehrtes Support-Team,
beim Betatesten der neuesten Version von Staking Pools sind mir einige auffällige Fehler aufgefallen, darunter unerwartete Abstürze und Dateninkonsistenzen. Könnten Sie sich das bitte einmal anschauen und mich über die geplanten Korrekturen informieren?
Mit freundlichen Grüßen,
Patryk Mert",2,Software
Probleme mit Card Reader,"Hallo Kundensupport, ich habe heute meinen neuen Card Reader erhalten, aber er wird von meinem Computer nicht erkannt. Ich habe schon mehrere USB-Ports ausprobiert, aber es tut sich nichts. Bitte um Unterstützung. Beste Grüße, Sakis Bork",2,Hardware
Hilfe! Smart-Kühlschrank zeigt Fehlercode E20,"Sehr geehrte Damen und Herren,
ich benötige dringend Ihre Hilfe. Mein neuer Smart-Kühlschrank zeigt seit gestern den Fehlercode E20 an und kühlt nicht mehr. Ich habe bereits mehrfach neu gestartet, aber ohne Erfolg. Wir benötigen den Kühlschrank dringend im Betrieb.
Vielen Dank,
Norman Zimmermann",3,Hardware
Uninterruptible Power Supply (UPS) Fehler,"Sehr geehrte Damen und Herren, ich habe kürzlich eine UPS von Ihnen erworben. Sie funktioniert nicht wie erwartet - bei einem Stromausfall bleibt der Computer trotzdem aus. Bitte helfen Sie mir weiter. Besten Dank, Nexhat Lücke",2,Hardware
Frage zur Anpassung auf Firmenname - SAP Commerce Cloud,"Sehr geehrte Damen und Herren, könnte in meiner nächsten Rechnung für die SAP Commerce Cloud der Firmenname auf die neue Firmierung 'Fiedler eCommerce Solutions' geändert werden? Vielen Dank vorab! Mit freundlichen Grüßen, Juliane Fiedler",1,Software
Probleme mit Mobile Marketing Performance,"Hallo Kundensupport,

ich habe vor kurzem die neueste Version von Mobile Marketing installiert und festgestellt, dass die Performance signifikant langsamer geworden ist. Die Ladezeiten haben sich deutlich erhöht, und einige Funktionen reagieren sehr träge. Könnten Sie bitte überprüfen, ob es eventuell ein Update oder einen Fix dafür gibt? Vielen Dank für Ihre Unterstützung.

Mit freundlichen Grüßen,
Theresa Scheel",2,Software
Dringend: Performance Appraisal startet nicht,"Sehr geehrte Damen und Herren, unser Performance Appraisal Tool lässt sich plötzlich nicht mehr starten. Wir brauchen das täglich für unsere Mitarbeiterbewertung und das ist dringend. Bitte helfen Sie uns schnell. Kundennummer: 3298. Vielen Dank, Giusy Stock",3,Software
Anfrage dringende Antwort bezüglich meines Gehalts,"Hallo Team, ich habe seit zwei Monaten mein Gehalt nicht erhalten. Bitte bearbeiten Sie schnellstmöglich. Danke, Nurullah Hamacher.",3,Buchhaltung
